merchant_id,account_name,account_type,sector,mcc,account_owner,account_status,activated_date,country,referral_source,mcc_code,converted,activate_year,activate_month
153373,DREAMLIKE AFRICA EXPEDITIONS AND RETREATS LIMITED,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Elosy Ngina,Activated,2025-05-16,Kenya,Landing Page,4722.0,1,2025.0,5.0
157388,UDH'HYA2025 LIMITED,Bar / Lounge,Hospitality,5812- Eating Place & Restaurant,Jonathan Mwai,Finalized,2025-04-25,Kenya,Walk-In,5812.0,1,2025.0,4.0
156576,ADRIWAY INVESTMENTS LIMITED,Property Management,Hospitality,"7011- Hotels, Motels and Resorts",Anthony Ngunyi,Activated,2025-04-25,Kenya,Self Search,7011.0,1,2025.0,4.0
157378,kigali meat taste (KMT) LTD,Bar / Lounge,Hospitality,5812- Eating Place & Restaurant,Collins Kweyamba,Finalized,2025-04-25,Rwanda,Bank Referral,5812.0,1,2025.0,4.0
157403,TREATS AND MORE Ltd,Catering,Hospitality,5462- Bakeries,Collins Kweyamba,Finalized,2025-05-02,Rwanda,Self Search,5462.0,1,2025.0,5.0
156947,DOMENIQ AFROSTYLES,E-Commerce,E-Commerce,5399-Miscellaneous General Merchant (Small Retail),Adella Asaasira,Finalized,2025-04-23,Uganda,Chat,5399.0,1,2025.0,4.0
157358,Great African Art Banner Foundation (GAAB) Ltd,General Service Provider,Retail,5399-Miscellaneous General Merchant (Small Retail),Jonathan Ssempa,Finalized,2025-04-25,Uganda,Self Search,5399.0,1,2025.0,4.0
157351,Rela Dental Clinic Limited,Health Services,Retail,8062- Hospital,Jonathan Ssempa,Finalized,2025-04-25,Uganda,Bank Referral,8062.0,1,2025.0,4.0
157349,DAU RESTAURANT LIMITED - KAREN,Restaurant,Hospitality,5812- Eating Place & Restaurant,Alexander Maleko,Activated,2025-04-24,Kenya,Employee Referral,5812.0,1,2025.0,4.0
168105,RHEMA MEDICAL GROUP LIMITED,Health Services,Retail,8062- Hospital,Sharon Munguryek,Finalized,2025-08-21,Uganda,Self Search,8062.0,1,2025.0,8.0
157347,Kingdom Adventures Ltd,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Jonathan Ssempa,Finalized,2025-04-30,Uganda,Helpdesk,4722.0,1,2025.0,4.0
156860,HASHDATAX SOLUTIONS,School,Retail,8220- Colleges and Universities,Marko Lambaldo,Account Closed,2025-04-24,Tanzania,Self Search,8220.0,0,2025.0,4.0
156810,YENZE THEATRE CONSERVATOIRE-SMC LIMITED,Events,Hospitality,7832- Motion Picture Theaters,Juliet Nalwoga,Finalized,2025-04-24,Uganda,Web Research,7832.0,1,2025.0,4.0
157322,Rozina Grill Restaurant,Restaurant,Hospitality,5812- Eating Place & Restaurant,Simon Mahinda,Finalized,2025-04-24,Kenya,Account Management Referral,5812.0,1,2025.0,4.0
143867,The Mobile Spas and Freelance Services,E-Commerce,E-Commerce,7230- Barber and Beauty Shops,Ann Njoroge,Finalized,2025-05-14,Kenya,Helpdesk,7230.0,1,2025.0,5.0
157292,NJARA SUITES LTD,Hotel,Hospitality,"7011- Hotels, Motels and Resorts",Stephen Kagaba,Finalized,2025-04-23,Uganda,Self Search,7011.0,1,2025.0,4.0
157296,KILIBEST TANZANIA TOURS,Tour Operator,Travel,4722- Travel Agencies Tour Operators,David Msando,Closed Due To Fraud,2025-04-23,Tanzania,Account Management Referral,4722.0,0,2025.0,4.0
157294,SUPREME TOURS CORPORATE EVENTS LIMITED,Hotel,Hospitality,"7011- Hotels, Motels and Resorts",Peter Robinson,Activated,2025-09-30,Kenya,Account Management Referral,7011.0,1,2025.0,9.0
156081,Safe Zanzibar Tours & Safari,Tour Operator,Travel,4722- Travel Agencies Tour Operators,William Lendukai,Finalized,2025-05-02,Tanzania,Self Search,4722.0,1,2025.0,5.0
157309,NOMADIC JUNCTION LIMITED,Car Hire,Travel,4121- Taxicabs and Limo,Simon Mahinda,Not Interested / Lost,2025-04-23,Kenya,Account Management Referral,4121.0,0,2025.0,4.0
155336,Serengeti Inn,Hotel,Hospitality,"7011- Hotels, Motels and Resorts",David Githaiga,Activated,2025-05-14,Kenya,Self Search,7011.0,1,2025.0,5.0
157353,MVULE EDUCATION -SMC LTD,School,Retail,8220- Colleges and Universities,Adella Asaasira,Account Closed,2025-04-23,Uganda,Chat,8220.0,0,2025.0,4.0
156440,Kipronic Limited,E-Commerce,E-Commerce,"5511- Car and Truck Dealers (New and Used) Sales, Service, Repair,s Parts and Leasing",Barbara Ogwari,Finalized,2025-05-12,Kenya,Self Search,5511.0,1,2025.0,5.0
157601,EJFRAN COMPANY LIMITED,School,Retail,8220- Colleges and Universities,Sharon Munguryek,Finalized,2025-04-25,Uganda,Self Search,8220.0,1,2025.0,4.0
